prot_id	ai	hu	ahs	avp	alt_topology	hgt_class	hgt_origins	hgt_donor_origin
FUN_016771-T1	79.88738074337849	134.0	134.0	UNKNOWN	-1	1	{"unknown":38}	bacteria
FUN_016772-T1	36.24252498681603	87.0	1398.1327934710207	HGT-NT	-1	-1	NA	bacteria
FUN_016773-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016774-T1	12.155583245607787	13.0	29757.00836550463	HGT-NT	-1	-1	NA	bacteria
FUN_016775-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016776-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016777-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016778-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016779-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016780-T1	-165.8321706340727	-238.0	-38678.41692816585	NA	-1	-1	NA	NA
FUN_016781-T1	36.88322569200343	84.3	6356.659357308794	HGT-NT	-1	-1	NA	bacteria
FUN_016782-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016783-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016784-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016785-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016786-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016787-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016788-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016789-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016790-T1	-2.20855614334576	-7.0	2735.4570294031164	HGT	0	-1	NA	fungi
FUN_016791-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016792-T1	58.451359254483755	114.0	114.0	NO-OT	-1	1	{"unknown":11}	bacteria
FUN_016793-T1	NA	NA	NA	NA	-1	-1	NA	NA
FUN_016794-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016795-T1	154.8494546596895	219.0	219.0	UNKNOWN	-1	1	{"unknown":16}	bacteria
FUN_016796-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016797-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016798-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016799-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016800-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016801-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016802-T1	172.53687822574375	246.0	8276.353554403093	HGT-NT	-1	3	{"unknown":1}	bacteria
FUN_016803-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016804-T1	49.282050085911344	68.0	-1206.4079030596697	COMPLEX	-1	-1	NA	eukaryota
FUN_016805-T1	33.80640850119746	85.1	131.9858837442747	UNKNOWN	-1	-1	NA	bacteria
FUN_016806-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016807-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016808-T1	338.29768711333077	455.0	8471.472474534312	HGT-NT	-1	3	{"unknown":3}	bacteria
FUN_016810-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016811-T1	77.83681754243733	140.0	392.52207691053275	HGT-NT	-1	3	{"unknown":8}	eukaryota
FUN_016811-T2	104.50792730401584	170.0	502.51089156445323	HGT-NT	-1	3	{"unknown":8}	eukaryota
FUN_016812-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016813-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016814-T1	NA	NA	NA	NA	-1	-1	NA	NA
FUN_016815-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016816-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
FUN_016817-T1	0.0	0.0	0.0	NA	-1	-1	NA	NA
